id;name;owner_name;mobile;email;logo_url;gst_number;pan_number;city;state;billing_line_1;billing_line_2;billing_city;billing_state;billing_pincode;shipping_line_1;shipping_line_2;shipping_city;shipping_state;shipping_pincode;shipping_same_as_billing;currency;fy_start_month;has_data;created_at;updated_at
19;surprisingly release although;kettledrum;"7189560767";Randall_Ruecker93@gmail.com;worth pace;"88YDGKM1882AOZW";"IEQZZ9354D";North Ralphchester;neatly marvelous;sunny unless;minus;even helpfully;uh-huh;"472786";thin granny along;than;than seemingly desk;exactly aha;"427601";true;cut;7;false;2026-04-19T13:49:10;2026-04-19T14:10:03
20;forceful dirty;coarse;"7358782067";Hosea_Braun88@yahoo.com;till;"85ZIVCC5338IBZ5";"LATJP6777Z";Greenwood;pick;plus;hungrily beside;um;thankfully destock yet;"746210";silently;sedately that nicely;phony;soup;"762143";true;reb;6;false;2026-04-19T09:35:25;2026-04-19T13:09:39
21;supposing yum merry;knowledgeably;"7281564648";Henriette.Kling@hotmail.com;wonderfully;"13HVJYW9584ISZD";"IPPCV7623J";Loweview;uh-huh;tuber lean;why unless;too quintuple;interesting;"956345";besides amongst boohoo;while;casement secret sweatshop;factorize opposite failing;"947138";false;dim;1;true;2026-04-19T11:47:55;2026-04-19T18:05:58
22;that reel;dim finally;"7634235844";Jermaine55@hotmail.com;suddenly;"88IXIUU2452C1Z5";"FQPWE1996D";Fort Germaine;lest hydrocarbon;plumber qua cleave;cheerfully gloom;if;knavishly blue;"428592";via notwithstanding ah;kookily shoulder alongside;urgently put;rust elevator;"358029";false;via;11;false;2026-04-19T18:54:57;2026-04-19T18:30:57
23;warmly;madly;"9175600152";Evelyn.Volkman@hotmail.com;not;"02WIZEZ3656FCZL";"YMTFW7442T";Port Americastead;briskly rudely step;boastfully unfortunate oh;behind disadvantage;backburn barring;gee;"680431";whenever whether;remark;grouper for;yahoo;"866626";false;eve;10;true;2026-04-20T04:45:08;2026-04-19T16:42:22
24;deliquesce of suddenly;chapel tune tarry;"9665596439";Mable.Bartell29@yahoo.com;yet prudent impure;"39RNXLM8102X3Z1";"WSNPI2025B";Jupiter;ack;wherever;electric;cram forenenst;burdensome;"275970";thongs yowza;maestro;astonishing evenly however;since sick;"706496";true;mid;4;false;2026-04-20T03:07:27;2026-04-19T17:41:02
25;which geez twine;speedily;"8051554618";Hassie_Gorczany@gmail.com;nor tooth really;"39CPZWE1779B5ZS";"WJRPB9178T";Philipton;between furiously what;yippee blushing;electrify sweetly;kookily boo gee;grouper embalm;"906386";modulo;bitterly furthermore;mountain whereas devise;spring outside energetically;"644724";false;pro;8;false;2026-04-19T11:39:50;2026-04-19T16:36:59
26;oof hmph outside;into ugh;"6582771285";Shannon78@yahoo.com;mostly;"14DOHBC9705NXZE";"FQGIF2682J";East Sandrashire;notwithstanding only;soap although;igloo whereas bind;exalt whoa unexpectedly;sunny eek doubtfully;"476024";mostly;gadzooks astride minor;unit;yippee;"120342";true;eno;9;false;2026-04-20T01:19:08;2026-04-19T11:08:52
27;almost consequently seriously;burly whose than;"8535566318";Daniela.Christiansen10@yahoo.com;alligator hateful inside;"07YHPUJ9533TUZV";"MIOTU3106A";Fort Litzy;showy venom abacus;whether;homeschool what;for;before;"935607";but especially barracks;sell border slushy;beside;geez;"209351";true;gra;7;true;2026-04-20T04:14:47;2026-04-20T06:55:01
28;abseil against;separately gah however;"8384327083";Fannie_Romaguera@gmail.com;jovially;"38SNLFO4667XXZ8";"HPHCK7620A";Stantonboro;receptor knowingly arrogantly;fail of service;prime soon;because within;gadzooks presell overtrain;"255633";source circa why;language yahoo;how bran mothball;vastly;"279589";false;eek;8;false;2026-04-20T03:52:59;2026-04-20T06:35:59
29;nor;boulevard oof seal;"7469486684";Jermain3@yahoo.com;thoroughly supposing;"99UDNEG0561E4ZR";"UBMWC9665L";South Donavonshire;gleefully;inexperienced amid clinking;uh-huh yippee;pointless um because;anti successfully;"198032";cluttered;within service;unless drat please;when safely a;"849602";false;as ;10;false;2026-04-20T06:25:28;2026-04-20T04:24:07
30;warmly;merry worth;"6578776700";Cory_Morar74@yahoo.com;for rapidly modulo;"22EYAVR8522ROZI";"BVBYN2915O";Andersonside;convince rowdy;properly executor;hospitable faithfully;metabolise;beyond;"937947";fundraising;worst elementary;whenever drum;store;"905506";false;exp;3;false;2026-04-19T17:57:36;2026-04-19T12:01:51
