id;name;type;mobile;email;address_line_1;address_city;address_state;address_pincode;gst_number;pan_number;credit_limit;payment_terms_days;opening_balance;balance;created_at;updated_at;deleted
17;collectivization cruelly;BOTH;"9745960657";Archie.Kihn31@gmail.com;ingratiate;hyena kindheartedly regular;standard;"634409";"37JMJKP9415EKZS";"MEZER6233E";15880.21;1831;31071.43;28743.31;2026-04-19T15:50:35;2026-04-20T03:47:17;false
18;inveigle refer;CUSTOMER;"7084722111";Mario.Stiedemann-OKeefe@gmail.com;stunt well-documented medium;yahoo nor;which psst;"579462";"27VWANY7121O3ZN";"TWNZN9726B";2197.39;328;32255.34;570.74;2026-04-20T06:35:16;2026-04-19T17:01:18;false
19;under painfully;SUPPLIER;"6012863096";Erik88@gmail.com;lest animated far;mill foretell restfully;debit mmm seldom;"418179";"90BYVHP2593G9Z8";"DGHHI0389C";3738.85;7;9707.23;30400.36;2026-04-19T17:47:46;2026-04-19T12:12:32;true
20;intently rundown ha;BOTH;"8056900095";Frank52@hotmail.com;loftily boohoo;until after;bowed;"740736";"37DMINS9656M2ZL";"DEIYP8721N";17449;1088;10045.78;18133.5;2026-04-20T06:26:57;2026-04-19T23:24:55;true
21;calmly ambitious;SUPPLIER;"6043582638";Ora90@gmail.com;hm;mutate;apologise categorise windy;"129622";"32YMWUY5567JPZ3";"IOBMM4433J";25012.42;2443;7433.37;28190.38;2026-04-20T08:09:33;2026-04-20T08:41:07;false
22;bitterly radiant quirkily;CUSTOMER;"8675094677";Ezequiel.Effertz@hotmail.com;disadvantage;considering;discontinue mountain;"728798";"70GKFPB4974CAZ0";"PARER0678R";14659.88;51;28261.7;9485.07;2026-04-19T21:50:20;2026-04-20T02:49:41;false
23;lucky obscure once;CUSTOMER;"7565336615";Jerome.Batz@gmail.com;profane typewriter since;come;ha um deduct;"893883";"15YMISQ5998QQZQ";"AERVL9003V";23506.74;2285;22725.52;25603.8;2026-04-19T22:57:24;2026-04-19T15:41:30;true
24;sadly;BOTH;"9530173027";Michelle_Murazik79@hotmail.com;understated well merit;or duh;woot aboard attraction;"379027";"00DZYNT4124ICZP";"VZSWZ1743H";3738.7;2216;29371;18775.51;2026-04-20T06:47:01;2026-04-19T11:59:10;false
25;blah yieldingly though;CUSTOMER;"8823663198";Carlo43@hotmail.com;spew yowza;valiantly ew unused;following;"768975";"30GRWYF6862XLZM";"IEYJZ9490I";13929.61;652;5181.87;1130.29;2026-04-20T04:24:48;2026-04-20T05:58:26;true
26;lest safely;CUSTOMER;"6524592092";Giovani.Adams17@hotmail.com;firm intervention adult;operating unpleasant how;tomorrow blue ick;"825242";"65FBBYD5237NOZ9";"GDSST7566H";22773.4;651;24895.83;27754.97;2026-04-19T18:59:12;2026-04-19T19:54:20;true
27;slight;SUPPLIER;"9396397768";Malinda80@hotmail.com;courageous while scale;spiffy ouch along;to;"999231";"26JXKEG2153KQZQ";"EYOTX4748V";31152.06;575;3447.59;8363.12;2026-04-19T22:56:55;2026-04-19T22:10:38;false
28;quart;BOTH;"7790275184";Lori_Lubowitz@gmail.com;naturally now hmph;whoa orderly;diver scamper brr;"953124";"01URQCW7595P9Z4";"ROTEM5876B";15179.52;193;20062.97;31217.54;2026-04-20T08:38:56;2026-04-20T00:10:15;false
29;doubter curiously spellcheck;SUPPLIER;"7961297620";Daisha.Harber@hotmail.com;pop excitable informal;before;phooey institute including;"331954";"67KZPJU5561K2Z2";"TAGSY3913C";15952.7;381;20448.65;4100.41;2026-04-19T13:35:50;2026-04-20T04:45:25;false
30;general a almighty;BOTH;"7100965983";Brandi79@gmail.com;cruelly;with internationalize consequently;whether politely overcooked;"665688";"80FGHVL3725XVZ9";"OAHFQ2045R";4904.46;1130;31216.58;13193.29;2026-04-19T16:50:01;2026-04-19T20:08:34;false
